issueMonth,topic,topic_es,deadline
January 2026,Stories for Day Counters,Historias para los que Cuentan Días,2025-06-15
February 2026,Getting Through Tough Times,Superando Tiempos Difíciles,2025-07-01
March 2026,Families and AA,Familias y AA,2025-08-01
April 2026,Getting into General Service,Entrando al Servicio General,2025-09-01
May 2026,How the Steps Changed My Life,Cómo los Pasos Cambiaron Mi Vida,2025-10-01
June 2026,Young & Sober,Jóvenes y Sobrios,2025-11-01
July 2026,Annual Prison Issue,Edición Anual de Prisiones,2025-12-01
August 2026,Sober Travel,Viajes en Sobriedad,2026-01-01
September 2026,Sponsorship,Padrinazgo,2026-02-01
October 2026,Dealing with Loneliness,Lidiando con la Soledad,2026-03-01
November 2026,Classic Grapevine,Grapevine Clásico,
December 2026,Remote Communities / Sober Holidays!,Comunidades Remotas / ¡Fiestas en Sobriedad!,2026-05-01
January 2027,Spiritual Awakenings,Despertares Espirituales,2026-06-01
February 2027,Longtime Members!,¡Miembros Veteranos!,2026-07-01
March 2027,What's on Your Mind?,¿Qué Tienes en Mente?,2026-08-01
April 2027,Making Amends,Haciendo Enmiendas,2026-09-01
May 2027,Fun in Sobriety,Diversión en Sobriedad,2026-10-01
June 2027,Emotional Sobriety,Sobriedad Emocional,2026-11-01
July 2027,Annual Prison Issue,Edición Anual de Prisiones,2026-12-01
August 2027,Sober Seniors,Adultos Mayores Sobrios,2027-01-01
September 2027,Young & Sober,Jóvenes y Sobrios,2027-02-01
October 2027,AA in the Military,AA en las Fuerzas Armadas,2027-03-01
November 2027,Classic Grapevine,Grapevine Clásico,
December 2027,Remote Communities / Sober Holidays!,Comunidades Remotas / ¡Fiestas en Sobriedad!,2027-05-01
